Date,Open,High,Low,Close,Adj Close,Volume
2014-01-15,79.074287,80.028572,78.808571,79.622856,76.554733,98472619
2014-01-16,79.285713,79.550003,78.811424,79.178574,76.127586,57471330
2014-01-17,78.782860,78.867142,77.128571,77.238571,74.262329,108426689
2014-01-21,77.285713,78.581429,77.202858,78.438568,75.416077,82255544
2014-01-22,78.697144,79.612854,78.258568,78.787140,75.751228,95219334
2014-01-23,78.550003,79.500000,77.829483,79.454285,76.392662,100978346
2014-01-24,79.142860,79.374283,77.821426,78.010002,75.004036,108384437
2014-01-27,78.680000,79.257141,77.964287,78.642860,75.612518,144219152
2014-01-28,72.698570,73.571426,71.724281,72.357140,69.568993,266833581
2014-01-29,72.000000,72.481430,71.231430,71.535713,68.779221,125942796
2014-01-30,71.782860,72.357140,70.957146,71.397430,68.646278,169762789
2014-01-31,70.728569,71.647141,70.507141,71.514282,68.758614,116336444
2014-02-03,71.772858,72.532860,71.328568,71.647141,68.886353,100620772
2014-02-04,72.272858,72.779999,71.822861,72.684288,69.883522,94273543
2014-02-05,72.384285,73.611427,72.321701,73.227142,70.405457,82322156
2014-02-06,72.938568,73.357140,72.544289,73.215714,70.499374,64497223
2014-02-07,74.464287,74.704269,73.911430,74.239998,71.485649,93638601
2014-02-10,74.094284,75.998573,74.000000,75.570000,72.766327,86451022
2014-02-11,75.801430,76.821426,75.642860,76.565712,73.725090,70672252
2014-02-12,76.702858,77.080002,76.177139,76.559998,73.719566,77127064
2014-02-13,76.379997,77.835716,76.314285,77.775711,74.890190,76960156
2014-02-14,77.495712,77.997131,77.315712,77.712860,74.829666,68468036
2014-02-18,78.000000,78.741425,77.944283,77.998573,75.104767,65306248
2014-02-19,77.785713,78.127144,76.335716,76.767143,73.919029,78554420
2014-02-20,76.108574,76.714287,75.571426,75.878571,73.063423,76529103
2014-02-21,76.102859,76.367142,74.942856,75.035713,72.251816,69757247
2014-02-24,74.720001,75.702843,74.631432,75.364288,72.568237,72364950
2014-02-25,75.582855,75.652145,74.428574,74.580002,71.813026,58247350
